Date,Open,High,Low,Close,Adj Close,Volume
12-03-2021,65.959999,66.239998,65.410004,65.610001,65.610001,441063
11-03-2021,64.699997,66.209999,64.540001,66.019997,66.019997,441063
10-03-2021,63.84,64.959999,63.130001,64.440002,64.440002,498488
09-03-2021,64.730003,65.980003,63.630001,64.010002,64.010002,554564
08-03-2021,66.68,67.980003,64.57,65.050003,65.050003,533376
07-03-2021,null,null,null,null,null,null
05-03-2021,64.160004,66.419998,63.82,66.089996,66.089996,573168
04-03-2021,61.080002,64.860001,60.52,63.830002,63.830002,694628
03-03-2021,59.549999,61.990002,59.240002,61.279999,61.279999,465311
02-03-2021,60.23,61.209999,59.380001,59.75,59.75,464133
01-03-2021,61.950001,62.919998,59.959999,60.639999,60.639999,456679
28-02-2021,null,null,null,null,null,null
26-02-2021,63.459999,63.57,61.34,61.5,61.5,472723
25-02-2021,63.389999,63.810001,62.650002,63.529999,63.529999,510357
24-02-2021,61.290001,63.509998,60.970001,63.220001,63.220001,489933
23-02-2021,62.16,63,60.669998,61.669998,61.669998,570677
22-02-2021,58.880001,61.84,58.82,61.490002,61.490002,505773
21-02-2021,null,null,null,null,null,null
19-02-2021,60.200001,60.290001,58.59,59.240002,59.240002,102427
18-02-2021,61.68,62.259998,59.790001,60.52,60.52,132035
17-02-2021,60.240002,61.73,59.43,61.139999,61.139999,335419
16-02-2021,59.98,60.950001,59.330002,60.049999,60.049999,602332
14-02-2021,null,null,null,null,null,null
12-02-2021,57.939999,59.82,57.41,59.470001,59.470001,480822
11-02-2021,58.400002,58.709999,57.84,58.240002,58.240002,380445
10-02-2021,58.450001,58.91,58.080002,58.68,58.68,457535
09-02-2021,58.110001,58.619999,57.27,58.360001,58.360001,514698
08-02-2021,57.060001,58.139999,57,57.970001,57.970001,399724
07-02-2021,null,null,null,null,null,null
05-02-2021,56.459999,57.290001,56.43,56.849998,56.849998,400833
04-02-2021,55.959999,56.580002,55.299999,56.23,56.23,381404
03-02-2021,55.049999,56.330002,54.810001,55.689999,55.689999,448693
02-02-2021,53.48,55.259998,53.450001,54.759998,54.759998,463718
01-02-2021,51.990002,53.740002,51.639999,53.549999,53.549999,416067
31-01-2021,null,null,null,null,null,null
29-01-2021,52.150002,53.25,51.93,52.200001,52.200001,410914
